smarts,coverage,proteins_active,proteins_all_seen,mean_signal_pct,median_signal_pct,breadth_score,mean_n_hits,mean_pos_ig_active,mean_delta_active
[#6]:[#6]:[#6](-[#9]):[#6]:[#6],21,ACHE|AKT1|ALDH1A1|ALOX5|AURKA|EDNRB|GSK3B|HCRTR1|HSD17B1|INSR|KCNH2|MAPK11|MAPK9|NR3C1|OPRD1|PGR|PPARD|PTGS2|SLC6A3|STAT3|TGFBR1,ACHE|ACVR1|ADRA2B|ADRA2C|AKT1|ALDH1A1|ALOX5|AURKA|BRAF|CDK2|CYP19A1|DRD2|DRD3|EDNRB|EGFR|ESR1|ESR2|GHSR|GSK3B|HCRTR1|HSD17B1|HSP90AA1|IDH1|INSR|JAK2|KCNH2|MAPK1|MAPK11|MAPK14|MAPK8|MAPK9|MC4R|MCHR1|MMP14|MMP2|NOS2|NR3C1|OPRD1|PGR|PPARD|PPARG|PTGS2|ROCK2|RORC|SLC6A3|STAT3|TGFBR1,0.7697798963532182,0.735249621785174,0.9962726972192945,5.904761904761905,0.19820183637042366,1.952434456648497
[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,19,ADRA1A|ADRA2B|ADRB1|ALOX5|CFTR|CYP1B1|EDNRB|EGFR|ESR2|GHSR|HSD17B1|KCNH2|MCHR1|NR1H4|NR3C1|OXTR|RORC|STAT3|TGFBR1,ACHE|ADRA1A|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|AGTR1|AGTR2|AKR1C3|AKT1|ALDH1A1|ALOX5|AR|AURKA|CDK2|CFTR|CHRM1|CYP19A1|CYP1B1|DRD2|DRD4|EDNRB|EGFR|ERBB2|ESR1|ESR2|GHSR|HCRTR1|HSD17B1|IDH1|JAK2|KCNH2|MAPK1|MAPK14|MAPK8|MC4R|MCHR1|MMP14|MMP2|MMP9|NOS1|NR1H4|NR3C1|OPRD1|OPRK1|OPRM1|OXTR|PGR|PPARG|PTGS2|ROCK2|RORC|SELE|SLC6A3|SRC|STAT3|TGFBR1,0.686336094266528,0.6683046683046683,0.9983809292504363,7.842105263157895,0.1871807051735843,1.9288954180009064
[#6]:[#6]:[#6](-[#17]):[#6]:[#6],15,ACHE|ADRA1A|CYP19A1|CYP1B1|ESR1|HCRTR1|IDH1|KCNH2|MCHR1|NOS1|NR3C1|PPARD|ROCK2|RORC|SRC,ACHE|ADRA1A|ADRA2C|AKR1C3|AKT1|ALOX5|AR|AURKA|BRAF|CYP19A1|CYP1B1|DRD2|DRD3|ESR1|ESR2|ESRRA|GSK3B|HCRTR1|IDH1|JAK2|KCNH2|MAPK1|MAPK8|MC4R|MCHR1|MMP2|NOS1|NR1H4|NR3C1|OPRK1|OPRM1|PGR|PLK1|PPARD|PPARG|PTGS2|RAF1|ROCK2|RORC|SLC6A3|SRC,0.7897998275818099,0.8143607705779334,0.9969080888426816,7.0,0.21410952572395942,2.13343209383747
[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,15,ALOX5|ERBB2|ESR2|GHSR|GNRHR|HSD17B1|IDH1|MCHR1|MMP2|OPRK1|OPRM1|ROCK2|RORC|STAT3|THRB,ACHE|ADRB1|AGTR2|AKR1C3|AKT1|ALOX5|AR|AURKA|CDK1|CFTR|CHRM1|CYP19A1|CYP1B1|DRD2|DRD4|EDNRB|EGFR|ERBB2|ESR1|ESR2|GHSR|GNRHR|GSK3B|HCRTR1|HSD17B1|IDH1|JAK2|KCNH2|MAP2K1|MAPK1|MAPK11|MAPK14|MAPK8|MC4R|MCHR1|MMP14|MMP2|MMP9|NR1H4|NR3C1|OPRD1|OPRK1|OPRM1|PGR|PPARG|PTGS2|ROCK2|RORC|SLC6A3|SRC|STAT3|THRB,0.7350745033425079,0.702576112412178,0.9961500362638338,4.133333333333334,0.20676555423746032,2.1662970238640193
[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],14,ADRB1|CYP19A1|DRD4|GHSR|GSK3B|HCRTR1|INSR|JAK2|KCNH2|MAPK11|MAPK14|OPRM1|PPARG|RORC,ADRB1|ADRB2|AR|CDK2|CYP19A1|DRD4|GHSR|GSK3B|HCRTR1|INSR|JAK2|KCNH2|MAPK11|MAPK14|NR3C1|OPRK1|OPRM1|PGR|PPARG|PTGS2|ROCK2|RORC|SRC|THRB,0.7853194693349325,0.8189207446898155,0.9967792351765127,2.857142857142857,0.21205924458856326,2.0536090358273014
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,13,ACHE|CCKAR|CYP19A1|DRD4|ESR1|GHSR|HSP90AA1|JAK2|MAPK8|MMP14|MMP2|ROCK2|STAT3,ACHE|ADRB2|AKR1C3|ALOX5|AURKA|BRAF|CCKAR|CDK2|CYP19A1|CYP1B1|DRD4|EDNRB|EGFR|ERBB2|ESR1|GHSR|GSK3B|HSP90AA1|IDH1|JAK2|KCNH2|MAPK8|MC4R|MCHR1|MMP14|MMP2|MMP9|OPRD1|PGR|PPARG|PTGS2|ROCK2|RORC|SRC|STAT3,0.73278759084873,0.7654867256637168,0.9974221383191534,5.461538461538462,0.22343522005160965,2.20795068098721
[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,11,ALOX5|DRD4|ERBB2|GSK3B|KCNH2|MAPK14|MMP2|MMP9|NR3C1|ROCK2|RORC,ACHE|ADRA2A|ADRA2B|ADRA2C|ADRB1|ALDH1A1|ALOX5|AURKA|CFTR|CHRM1|DRD2|DRD3|DRD4|EDNRB|EGFR|ERBB2|GSK3B|IDH1|INSR|KCNH2|MAPK11|MAPK14|MAPK8|MMP2|MMP9|NOS1|NR1H4|NR3C1|OPRD1|OPRM1|PTGS2|ROCK2|RORC|SLC6A3|SRC|STAT3,0.7991287134222387,0.8019639934533551,0.9955177518116757,3.090909090909091,0.22489213175845865,2.349967884294914
[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,11,ADRB2|AGTR2|AR|HSD17B1|MMP2|MMP9|OPRD1|OPRK1|OPRM1|PGR|SRC,ACHE|ADRB2|AGTR2|AR|CYP19A1|ESR1|ESR2|ESRRA|GSK3B|HSD17B1|KCNH2|MMP2|MMP9|OPRD1|OPRK1|OPRM1|PGR|PTGS2|SRC|STAT3,0.7736984346859258,0.7661290322580645,0.9944408344014014,1.9090909090909092,0.23927046132810184,2.4413065440727
[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1,11,ALOX5|HSP90AA1|KCNH2|MAPK14|MCHR1|MMP2|MMP9|PGR|PPARD|RORC|STAT3,ACHE|ALOX5|CYP19A1|ESR1|ESR2|HSP90AA1|JAK2|KCNH2|MAPK14|MCHR1|MMP14|MMP2|MMP9|PGR|PPARD|PTGS2|RORC|SRC|STAT3,0.7721554695995173,0.7788697788697788,0.9958760533557958,5.181818181818182,0.21253588761392478,2.1774010909842207
[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],11,ADRA2B|ADRB1|ALOX5|CFTR|KCNH2|MAPK14|OPRD1|OXTR|RORC|SLC6A3|STAT3,ACHE|ADRA2A|ADRA2B|ADRB1|AGTR1|ALDH1A1|ALOX5|AR|CDK2|CFTR|CHRM1|CYP19A1|DRD4|EDNRB|EGFR|ERBB2|IDH1|KCNH2|MAPK1|MAPK14|MMP2|OPRD1|OPRM1|OXTR|PGR|PPARG|PTGS2|RORC|SLC6A3|SRC|STAT3,0.7709851168759687,0.7450142450142451,0.9946769464764083,2.5454545454545454,0.1935751095123879,2.052472801951619
[#6]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6],11,ACHE|ACVR1|AR|BRAF|ESR2|HCRTR1|INSR|OPRK1|PTGS2|ROCK2|SRC,ACHE|ACVR1|AR|BRAF|CYP19A1|ESR2|GSK3B|HCRTR1|INSR|JAK2|MAP2K1|NR1H4|NR3C1|OPRK1|PTGS2|ROCK2|SRC|STAT3,0.7680060576000117,0.7716627634660421,0.994825238649495,4.636363636363637,0.2220758536358199,2.151008563064502
[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,11,ALOX5|CYP19A1|GSK3B|HCRTR1|HSD17B1|IDH1|JAK2|MCHR1|OPRD1|PTGS2|SLC6A3,ACHE|AKT1|ALOX5|AR|CDK2|CYP19A1|DRD2|EGFR|GSK3B|HCRTR1|HSD17B1|IDH1|JAK2|KCNH2|MAPK1|MAPK14|MAPK9|MC4R|MCHR1|MMP2|NOS2|OPRD1|PGR|PTGS2|ROCK2|SLC6A3|TGFBR1,0.7222238560445962,0.7194244604316546,0.9963099437763647,4.0,0.21330680053191955,2.006708922530666
[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,10,AGTR1|BRAF|CYP19A1|GSK3B|KCNH2|MCHR1|OPRK1|PTGS2|RORC|SRC,ACHE|AGTR1|AGTR2|ALDH1A1|BRAF|CYP19A1|EGFR|GHSR|GSK3B|HSP90AA1|KCNH2|MCHR1|MMP2|MMP9|OPRK1|OPRM1|PPARG|PTGS2|ROCK2|RORC|SLC6A3|SRC,0.810495684571557,0.8325665234468642,0.9947328798023142,4.9,0.2255866121773645,2.266758157351078
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],10,ACHE|ADRB1|ADRB2|AR|AURKA|HCRTR1|JAK2|KCNH2|MAPK14|PLK1,ACHE|ADRB1|ADRB2|AR|AURKA|EDNRB|HCRTR1|JAK2|KCNH2|MAPK14|PGR|PLK1|PTGS2|ROCK2|SLC6A3,0.7830360765360996,0.7818876188441406,0.99654500736242,3.2,0.21357386253096836,2.3114043045043946
[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,10,ESR1|GSK3B|MAPK8|MMP2|MMP9|OPRD1|OPRM1|PGR|PPARG|SRC,ACHE|ADRB1|ADRB2|AURKA|CDK2|CYP19A1|DRD4|ESR1|ESR2|ESRRA|GSK3B|KCNH2|MAPK8|MMP2|MMP9|OPRD1|OPRM1|PGR|PPARG|SRC|THRB,0.7530006739828565,0.7433190670243484,0.9964204719343531,6.4,0.23950218257995748,2.470681708592635
[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,10,ACHE|ADRB1|ALOX5|CFTR|DRD4|ERBB2|ESR1|IDH1|KCNH2|MMP2,ACHE|ADRB1|ADRB2|AKR1C3|ALOX5|AR|AURKA|CFTR|CHRM1|CYP19A1|DRD4|EDNRB|EGFR|ERBB2|ESR1|ESR2|GHSR|IDH1|KCNH2|MAPK1|MCHR1|MMP14|MMP2|MMP9|OPRM1|PGR|PTGS2,0.7264075084517869,0.6697938265535153,0.9955518184703884,4.2,0.20577930924556553,2.0375626215859066
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],9,ACHE|ADRA1A|ADRB2|CDK2|CYP19A1|EDNRB|KCNH2|SRC|THRB,ACHE|ADRA1A|ADRA2C|ADRB2|ALOX5|CDK2|CYP19A1|EDNRB|GHSR|KCNH2|SRC|STAT3|THRB,0.8551520430523671,0.9233333333333333,0.9957019081122277,2.5555555555555554,0.2236668438547187,2.4377127435472277
[#6]-[#8]-[#6](:[#6]:[#6]):[#6]:[#6],9,AURKA|CCKAR|HSD17B1|HSP90AA1|MCHR1|PPARG|PTGS2|ROCK2|STAT3,ACHE|AKR1C3|ALOX5|AURKA|BRAF|CCKAR|CDK2|CYP19A1|EDNRB|GHSR|GSK3B|HSD17B1|HSP90AA1|IDH1|MAPK14|MAPK8|MAPK9|MC4R|MCHR1|MMP9|NOS2|PPARG|PTGS2|ROCK2|SRC|STAT3,0.8163148661192284,0.8452380952380952,0.9970727399463108,2.0,0.21213865487111938,2.264277983594824
[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],9,ACHE|ADRA1A|ADRB1|ALOX5|AR|GHSR|KCNH2|MAPK14|RORC,ACHE|ADRA1A|ADRB1|ALOX5|AR|CHRM1|DRD3|EDNRB|EGFR|GHSR|INSR|KCNH2|MAPK14|RORC|STAT3,0.8060392209982453,0.7952853598014888,0.9965269515091139,3.888888888888889,0.20206593787058805,2.16867075537005
[#6]-[#8]-[#6](-[#9])(-[#9])-[#9],9,ACHE|ADRA2A|AURKA|ESR1|HSD17B1|IDH1|OPRK1|PPARG|RORC,ACHE|ADRA2A|ADRB1|ALOX5|AURKA|BRAF|ESR1|HSD17B1|IDH1|KCNH2|MCHR1|MMP2|OPRK1|PPARG|RORC|STAT3|TGFBR1,0.7998971344347187,0.8180232558139535,0.9958648597069364,2.6666666666666665,0.21639640583300293,2.2635010495597934
