index,smarts,coverage,mean_signal_pct,median_signal_pct,breadth_score,mean_n_hits,mean_pos_ig_active,mean_delta_active,smiles
1,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,25,0.759565149,0.743319067,0.996420472,6.4,0.239502183,2.470681709,Oc1ccccc1
2,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,23,0.780800255,0.735249622,0.996272697,5.904761905,0.198201836,1.952434457,Fc1ccccc1
3,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,22,0.728660606,0.668304668,0.998380929,7.842105263,0.187180705,1.928895418,Cc1ccccc1
4,[#6]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6],19,0.783036077,0.771662763,0.994825239,4.636363636,0.222075854,2.151008563,ccc(OC)c(c)C
5,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,18,0.774551228,0.765486726,0.997422138,5.461538462,0.22343522,2.207950681,COc1ccccc1
6,[#6]:[#6]:[#6](-[#17]):[#6]:[#6],15,0.789799828,0.814360771,0.996908089,7,0.214109526,2.133432094,ccc(cl)cc
7,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,15,0.735074503,0.702576112,0.996150036,4.133333333,0.206765554,2.166297024,c1ccccc1
8,[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],14,0.785319469,0.818920745,0.996779235,2.857142857,0.212059245,2.053609036,ccc(Cl)c(c)C
9,[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,11,0.799128713,0.801963993,0.995517752,3.090909091,0.224892132,2.349967884,Nc1ccccc1
10,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,11,0.773698435,0.766129032,0.994440834,1.909090909,0.239270461,2.441306544,Cc1ccc(O)cc1
11,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1,11,0.77215547,0.778869779,0.995876053,5.181818182,0.212535888,2.177401091,CCOc1ccccc1
12,[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,11,0.722223856,0.71942446,0.996309944,4,0.213306801,2.006708923,Cc1ccc(F)cc1
13,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,10,0.810495685,0.832566523,0.99473288,4.9,0.225586612,2.266758157,cc(c)c1ccc(C)cc1
14,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],9,0.855152043,0.923333333,0.995701908,2.555555556,0.223666844,2.437712744,COc1ccccc1O
15,[#6]-[#8]-[#6](-[#9])(-[#9])-[#9],9,0.799897134,0.818023256,0.99586486,2.666666667,0.216396406,2.26350105,COC(F)(F)F
16,[#6]:[#6](-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1):[#6],9,0.798943971,0.77603349,0.996774147,1.777777778,0.229509849,2.200977807,cc(c)C1ccc(F)cc1
17,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,9,0.79782601,0.809980806,0.996336471,3.111111111,0.213820349,2.271160907,Cc1cccc(O)c1
18,[#6]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,9,0.775252605,0.765981735,0.996437896,6.555555556,0.203162805,1.994616259,cc1ccccc1
19,[#6]-[#8]-[#6](:[#6]):[#6],9,0.736392914,0.692740286,0.995612198,3.666666667,0.185152457,1.868400766,cc(c)OC
20,[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],8,0.850013604,0.894880138,0.997354315,2,0.265032525,2.602359623,ccc(Cl)c(c)N
21,[#8]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,8,0.823448361,0.848986736,0.99535049,2.75,0.248909466,2.514429922,cc(c)c1ccc(O)cc1
22,[#6]:[#6](-[#6](-[#7])=[#8]):[#6],8,0.805369165,0.837718456,0.997411678,5.75,0.21815332,2.066250931,cc(c)C(N)=O
23,[#6]:[#6]:[#6](-[#9]):[#6](-[#9]):[#6],8,0.786513443,0.759592033,0.992838442,3,0.219146778,2.171013201,ccc(F)c(c)F
24,[#7]1-[#6]-[#6]-[#7](-[#6]-[#6](:[#6]):[#6])-[#6]-[#6]-1,8,0.782062219,0.788616376,0.994719759,1.625,0.223179172,2.050522578,cc(c)CN1CCNCC1
25,[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,8,0.769979069,0.758251916,0.997814985,2.625,0.212930019,2.330059085,Cc1ccc(C(N)=O)cc1
26,[#6]:[#7]:[#6](-[#7]-[#6](:[#6]:[#6]):[#6]:[#6]):[#7]:[#6],8,0.766999335,0.768895294,0.996687094,5.375,0.219180879,2.208242201,ccc(cc)Nc(Nc)Nc
27,[#6]-[#7]1-[#6]-[#6]-[#7](-[#6](:[#6]):[#6])-[#6]-[#6]-1,8,0.765339393,0.716351605,0.994458297,2.125,0.218968951,2.082070068,cc(c)N1CCN(C)CC1
28,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,8,0.749527239,0.702491694,0.994013932,4.125,0.218624822,2.266508907,CN1CCCC1
