alert,OR,p,a_pos_hit,b_pos_nohit,c_neg_hit,d_neg_nohit,pos_n,neg_n,q,SMARTS
A6,1.6762683168526535,4.3309638956211596e-14,946,885,626,982,1831,1608,1.2126698907739248e-12,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
A3,1.6629614613086967,2.533172206793567e-12,700,1131,436,1172,1831,1608,3.5464410895109944e-11,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
A9,2.014760126121756,2.2868355553601284e-07,169,1662,77,1531,1831,1608,2.1343798516694535e-06,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1
A1,1.5389761628426033,7.780469880782706e-07,394,1437,243,1365,1831,1608,5.446328916547894e-06,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1
A4,1.7140104272213113,1.369791844889036e-06,235,1596,127,1481,1831,1608,7.670834331378602e-06,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
A19,1.701705064828301,1.648552504058537e-06,237,1594,129,1479,1831,1608,7.69324501893984e-06,[#6]-[#8]-[#6](:[#6]):[#6]
A5,1.720698047962741,5.012278021063223e-06,204,1627,109,1499,1831,1608,2.004911208425289e-05,[#6]:[#6]:[#6](-[#17]):[#6]:[#6]
A17,1.929143865842895,1.1634264548836294e-05,132,1699,62,1546,1831,1608,4.071992592092703e-05,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1
A2,3.1171813756327,2.8918990527723323e-05,50,1781,14,1594,1831,1608,8.9970192752917e-05,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1
A10,1.9369991363151406,3.307654324719306e-05,116,1715,54,1554,1831,1608,9.261432109214057e-05,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1
A12,11.529655172413793,5.9827250477356163e-05,19,1812,1,1607,1831,1608,0.00015228754666963388,[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1
A24,27.450316542802092,7.623426349915768e-05,15,1816,0,1608,1831,1608,0.00017787994816470125,[#7]1-[#6]-[#6]-[#7](-[#6]-[#6](:[#6]):[#6])-[#6]-[#6]-1
A27,20.321614940950287,0.0009609486208637601,11,1820,0,1608,1831,1608,0.0020697354910911756,[#6]-[#7]1-[#6]-[#6]-[#7](-[#6](:[#6]):[#6])-[#6]-[#6]-1
A11,1.859845203164863,0.0032307055032381672,61,1770,29,1579,1831,1608,0.0064614110064763345,[#6]-[#8]-[#6](:[#6]:[#6]):[#6](:[#6])-[#6]
A14,1.9359010180468688,0.009062077303430675,42,1789,19,1589,1831,1608,0.016915877633070592,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8]
A28,1.8524465798457455,0.02371365980855096,34,1797,16,1592,1831,1608,0.041498904664964184,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1
A25,4.995430033817749,0.030448867945758788,8,1823,1,1607,1831,1608,0.047364905693402556,[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1
A13,2.8445972795353813,0.02931570087109314,14,1817,4,1604,1831,1608,0.047364905693402556,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1
A7,1.6100528043385187,0.035815635982640676,44,1787,24,1584,1831,1608,0.05278093723757573,[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17]
A21,2.6388508891928866,0.23047136937530294,4,1827,1,1607,1831,1608,0.3226599171254241,[#8]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1
A16,2.636164982245288,0.5324222157603955,1,1830,0,1608,1831,1608,0.6981917739643219,[#6]:[#6](-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1):[#6]
A23,1.464425617199599,0.5485792509719671,2,1829,1,1607,1831,1608,0.6981917739643219,[#6]:[#6]:[#6](-[#9]):[#6](-[#9]):[#6]
A8,0.934856465735648,0.7785561137000314,283,1548,263,1345,1831,1608,0.9478074427652556,[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
A22,0.8312075935469962,0.8647138352302164,60,1771,63,1545,1831,1608,0.9684794954578423,[#6]:[#6](-[#6](-[#7])=[#8]):[#6]
A15,0.6268301253269823,0.850584060643983,2,1829,3,1605,1831,1608,0.9684794954578423,[#6]-[#8]-[#6](-[#9])(-[#9])-[#9]
A18,0.5671366011312107,0.9999956674196369,105,1726,156,1452,1831,1608,0.9999956674196369,[#6]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
A26,0.4719084579626007,0.9383646273540961,3,1828,6,1602,1831,1608,0.9999956674196369,[#6]:[#7]:[#6](-[#7]-[#6](:[#6]:[#6]):[#6]:[#6]):[#7]:[#6]
A20,0.459906376043723,0.9990765287758229,21,1810,40,1568,1831,1608,0.9999956674196369,[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17]
