,[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]:[#6]:[#6](-[#17]):[#6]:[#6],[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],[#6]-[#8]-[#6](:[#6]):[#6],[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#6]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1,[#6]:[#6](-[#6](-[#7])=[#8]):[#6],[#6]-[#8]-[#6](-[#9])(-[#9])-[#9],[#6]-[#7]1-[#6]-[#6]-[#7](-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#6]:[#7]:[#6](-[#7]-[#6](:[#6]:[#6]):[#6]:[#6]):[#7]:[#6],[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#7]1-[#6]-[#6]-[#7](-[#6]-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,[#6]:[#6]:[#6](-[#9]):[#6](-[#9]):[#6],[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],[#8]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#6]:[#6](-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1):[#6]
ACHE,0.546290972,0.473835538,0.792409431,0.898792409,0.756181714,0.848763657,0.267970098,0.901667625,0.605520414,0.400230017,0.0,0.630822312,0.207015526,0.899942496,0.15439908,0.513801035,0.0,0.96147211,0.0,0.0,0.0,0.282921219,0.0,0.0,0.0,0.925244393,0.92466935,0.0
ACVR1,0.0,0.0,0.136645963,0.0,0.0,0.0,0.0,0.860248447,0.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA1A,0.660377358,0.0,0.0,0.787735849,0.849056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235849057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.948113208,0.0,0.0
ADRA2A,0.475728155,0.0,0.0,0.0,0.0,0.0,0.174757282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.689320388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2B,0.646666667,0.0,0.513333333,0.0,0.0,0.0,0.113333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA2C,0.408602151,0.0,0.182795699,0.0,0.408602151,0.0,0.408602151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532258065,0.0,0.0
ADRB1,0.896174863,0.079234973,0.0,0.896174863,0.0,0.0,0.079234973,0.896174863,0.0,0.0,0.650273224,0.0,0.0,0.0,0.0,0.0,0.0,0.177595628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRB2,0.011857708,0.0,0.0,0.90513834,0.0,0.505928854,0.0,0.853754941,0.0,0.0,0.468379447,0.0,0.0,0.0,0.980237154,0.0,0.586956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741106719,0.0,0.0
AGTR1,0.322134387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGTR2,0.090163934,0.090163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.295081967,0.0,0.799180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
