,[#6]:[#6]:[#6](-[#17]):[#6]:[#6],[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]):[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#8],[#6]-[#8]-[#6](-[#9])(-[#9])-[#9],[#6]:[#6](-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1):[#6],[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#6]):[#6]:1,[#6]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#8]-[#6](:[#6]):[#6],[#7]-[#6](:[#6]):[#6](:[#6]:[#6])-[#17],[#8]-[#6]1:[#6]:[#6]:[#6](-[#6](:[#6]):[#6]):[#6]:[#6]:1,[#6]:[#6](-[#6](-[#7])=[#8]):[#6],[#6]:[#6]:[#6](-[#9]):[#6](-[#9]):[#6],[#7]1-[#6]-[#6]-[#7](-[#6]-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1,[#6]:[#7]:[#6](-[#7]-[#6](:[#6]:[#6]):[#6]:[#6]):[#7]:[#6],[#6]-[#7]1-[#6]-[#6]-[#7](-[#6](:[#6]):[#6])-[#6]-[#6]-1,[#6]-[#7]1-[#6]-[#6]-[#6]-[#6]-1,[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1,[#6]1:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1,[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6],[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1
ACHE,0.756181714,0.473835538,0,0.267970098,0.15439908,0.513801035,0.400230017,0.207015526,0.925244393,0.96147211,0,0.899942496,0.630822312,0.605520414,0,0.92466935,0,0,0.282921219,0,0,0,0,0.792409431,0.898792409,0.848763657,0.901667625,0.546290972
ACVR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0.136645963,0,0,0.860248447,0
ADRA1A,0.849056604,0,0,0,0,0,0,0,0.948113208,0,0,0,0,0,0,0,0.235849057,0,0,0,0,0,0,0,0.787735849,0,0,0.660377358
ADRA2A,0,0,0,0.174757282,0,0,0,0,0,0.689320388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475728155
ADRA2B,0,0,0,0.113333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513333333,0,0,0,0.646666667
ADRA2C,0.408602151,0,0,0.408602151,0,0,0,0,0.532258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182795699,0,0,0,0.408602151
ADRB1,0,0.079234973,0.650273224,0.079234973,0,0,0,0,0,0.177595628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.896174863,0,0.896174863,0.896174863
ADRB2,0,0,0.468379447,0,0.980237154,0,0,0,0.741106719,0,0,0,0,0,0,0,0.586956522,0,0,0,0,0,0,0,0.90513834,0.505928854,0.853754941,0.011857708
AGTR1,0,0,0,0,0,0,0,0.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322134387
AGTR2,0,0.090163934,0,0,0.799180328,0,0,0.295081967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090163934
AKR1C3,0.351916376,0.216027875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.837979094,0,0,0,0,0,0,0,0.216027875,0.588850174,0,0.540069686
AKT1,0.503012048,0.151606426,0,0,0,0,0.549196787,0,0,0,0,0,0.861947791,0,0,0,0.235441767,0.616967871,0,0,0,0,0.587349398,0.840863454,0,0,0,0.295180723
ALDH1A1,0,0,0,0.431506849,0,0,0,0.565068493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869863014,0,0,0,0.116438356
ALOX5,0.328767123,0.873287671,0,0.606164384,0,0.823059361,0.734018265,0,0.322488584,0.007990868,0.975456621,0,0.765981735,0.807077626,0,0,0,0,0,0,0,0,0,0.843607306,0.611872146,0.348173516,0.523972603,0.670091324
AR,0.504342432,0.186104218,0.449131514,0,0.766129032,0,0.205955335,0,0,0,0,0,0.82133995,0.478908189,0,0,0,0,0,0,0,0,0,0.080645161,0.79528536,0,0.867866005,0.581885856
AURKA,0.404651163,0.151162791,0,0.409302326,0,0,0,0,0,0.818023256,0,0,0.226744186,0,0.566860465,0,0.865116279,0.936627907,0.406976744,0.679069767,0.672093023,0.51744186,0.690697674,0.674418605,0.562790698,0.793023256,0.668604651,0.128488372
BRAF,0.258971872,0,0,0,0,0,0,0.868089234,0,0.383608147,0.628516004,0,0,0.319107662,0.327837051,0,0,0,0,0.429679922,0.874878758,0,0,0.476236663,0,0.365664403,0.711445199,0
CCKAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451327434,0,0,0,0,0,0.477876106,0,0,0,0.862831858,0,0
CDK1,0,0.354368932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677184466,0,0,0,0,0,0,0
CDK2,0,0,0.06684492,0,0,0,0.326203209,0,0.947192513,0,0,0.75868984,0.159759358,0,0,0,0,0,0.213903743,0,0.64171123,0.296791444,0,0.431149733,0.045454545,0.485294118,0.239973262,0.426470588
CFTR,0,0.513157895,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651315789,0,0,0.940789474
CHRM1,0,0.564102564,0,0.426282051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394230769,0,0.166666667,0.519230769
CYP19A1,0.685851319,0.099520384,0.661270983,0,0.32793765,0.45263789,0.71942446,0.979016787,0.726019185,0,0,0,0.428057554,0,0,0.231414868,0,0,0,0,0,0,0,0.586330935,0.42206235,0.612709832,0.03057554,0.384892086
CYP1B1,0.789473684,0.421052632,0,0,0,0,0,0,0,0,0,0,0.578947368,0.900584795,0,0,0,0,0,0,0,0,0,0,0,0.31871345,0,0.69005848
DRD2,0.543290043,0.246753247,0,0.264069264,0,0,0.543290043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497835498,0,0.543290043,0,0,0,0.082251082
DRD3,0.173611111,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715277778,0,0.284722222,0.215277778,0,0,0
DRD4,0,0.210144928,0.949275362,0.84057971,0,0,0,0,0,0,0,0,0.706521739,0,0,0,0,0,0.768115942,0,0,0.666666667,0,0,0.637681159,0.652173913,0,0.405797101
EDNRB,0,0.336158192,0,0.451977401,0,0,0,0,0.628531073,0,0,0,0,0.63700565,0,0,0.683615819,0,0,0,0,0,0,0.838983051,0.502824859,0.298022599,0.059322034,0.624293785
EGFR,0,0.409209838,0,0.355311355,0,0,0.519623234,0.184196756,0,0,0.77603349,0.107273679,0.56043956,0,0,0,0.663003663,0,0.020669806,0.004971219,0.551020408,0.717425432,0,0.302459445,0.425431711,0.452642595,0,0.658817373
ERBB2,0,0.960982659,0,0.979768786,0,0,0,0,0,0,0,0.261560694,0,0,0,0,0,0,0,0.01083815,0,0.967485549,0.63150289,0,0.833815029,0.223988439,0,0.520231214
ESR1,0.934036939,0.416886544,0,0,0.592348285,0.538258575,0,0,0,0.727572559,0,0.365435356,0,0.435356201,0,0,0,0,0,0,0,0,0.894459103,0.452506596,0.751978892,0.643799472,0,0.255936675
ESR2,0.356223176,0.646638054,0,0,0.539341917,0.25751073,0,0,0,0,0,0,0,0.027896996,0.943490701,0.962804006,0,0,0,0,0,0,0.359084406,0.391988555,0.579399142,0,0.922031474,0.628040057
ESRRA,0.451923077,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0
GHSR,0,0.755154639,0.698453608,0,0,0,0,0.12242268,0.583762887,0,0,0,0,0.512886598,0,0,0,0,0,0,0,0,0,0.460051546,0.711340206,0.770618557,0,0.755154639
GNRHR,0,0.64556962,0,0,0,0,0,0,0,0,0,0.624472574,0,0,0,0,0,0,0.278481013,0,0,0,0,0,0,0,0,0
GSK3B,0.450433109,0.243503369,0.671799808,0.902791145,0.447064485,0,0.64292589,0.811357074,0,0,0.855630414,0,0.344562079,0.297401347,0,0,0,0,0,0.811357074,0,0,0,0.869104909,0.816169394,0.345524543,0.551973051,0
HCRTR1,0.814487633,0.473498233,0.820671378,0,0,0,0.784452297,0,0,0,0,0.868374558,0,0.25795053,0,0,0,0,0,0,0,0,0,0.916077739,0,0,0.655477032,0.121908127
HSD17B1,0,0.805555556,0,0,0.662698413,0,0.738095238,0,0,0.64484127,0,0.496031746,0,0.017857143,0,0,0,0.728174603,0.886904762,0,0,0,0,0.623015873,0,0.845238095,0,0.611111111
HSP90AA1,0,0,0,0,0,0.647887324,0,0.313380282,0,0,0,0,0,0.798122066,0,0.67370892,0.300469484,0,0,0.688967136,0,0,0,0.558685446,0,0.79342723,0,0
